Country	Last	Date	Previous	Max	Min	Scale
Tajikistan	-5.95	Dec/15	-1.88	19.36	-16.47	celsius
Tanzania	22.13	Aug/13	21	25.04	19.17	celsius
Thailand	27.55	Aug/13	27.56	30.44	20.1	celsius
Togo	25.13	Aug/13	25.7	30.98	22.66	celsius
Tonga	21.88	Aug/13	21.83	27.39	19.3	celsius
Trinidad and Tobago	26.32	Dec/15	26.89	28.41	23.41	celsius
Tunisia	12.29	Dec/15	17.04	33.81	6.32	celsius
Turkey	0.97	Dec/15	8.45	26.27	-4.52	celsius
Turkmenistan	5.42	Dec/15	8.2	32.14	-8.44	celsius
Uganda	23.42	Dec/15	23.01	26.5	21.03	celsius
Ukraine	1.52	Dec/15	5.15	24.3	-14.72	celsius
United Arab Emirates	20.76	Dec/15	24.98	37.75	15.74	celsius
United Kingdom	6.92	Dec/15	8.21	17.29	-1.47	celsius
United States	-1.42	Dec/15	2.45	23.01	-7.58	celsius
Uruguay	22.85	Dec/15	19.52	25.83	8.2	celsius
Uzbekistan	2.68	Dec/15	4.82	30.38	-12.32	celsius
Vanuatu	24.82	Dec/15	24.3	26.33	20.48	celsius
Venezuela	26.52	Dec/15	26.96	27.81	22.78	celsius
Vietnam	22.08	Dec/15	24.76	28.56	16.56	celsius
Virgin Islands	25.51	Dec/15	26.17	29.33	22.95	celsius
Yemen	20.15	Dec/15	22.22	32.74	18.47	celsius
Zambia	25.21	Dec/15	25.41	26.28	15.52	celsius
Zimbabwe	19.76	Aug/13	17	26.6	14.08	celsius
